,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
23,5星级酒店竟然把剩菜做成了盲盒！3.99一个里面有什么？,https://www.bilibili.com/video/BV1gb4y187fp,HOLA小测佬,574274,1637510,6117,10995,132338,0,2513,7752
24,【港式丝袜奶茶】没难度，随便做,https://www.bilibili.com/video/BV1Lv411M7Sg,我的样子平平无奇,562712,362453,2045,4541,30284,0,1258,3527
25,学了点新花样 你能吃几碗？,https://www.bilibili.com/video/BV1k44y1e79t,别叫我狗哥-,554768,444367,166,210,34840,0,70,604
26,复刻撒盐哥的黄金战斧牛排，成本居然这么“低”,https://www.bilibili.com/video/BV1KF411Y7xR,燕子堡BBQ学徒Ray,549371,323616,2464,9152,33089,0,564,2210
27,20多年来郑州京广路的传说！门口天天排长龙！10到20羊杂汤肉量很满足！,https://www.bilibili.com/video/BV1Xb4y187P2,米梦杰,542567,358627,1186,6908,32491,0,676,1243
28,【自嗨锅红黑榜】格局有了！味道不行？,https://www.bilibili.com/video/BV1JF411Y7an,网不红萌叔Joey,528697,293617,1760,10265,31153,0,256,2483
29,周末公园溜达一圈，吃个简易苹果拼盘，真的挺好吃！,https://www.bilibili.com/video/BV1Nq4y1373x,刘庸干净又卫生,511480,1430849,3833,7617,97979,0,2509,2466
30,花22元吃小巷子里的砂锅，8元一个的手枪腿，鲜嫩多汁，再来一盘鸡叉骨，吃完还想来！,https://www.bilibili.com/video/BV1Rf4y1u7ei,小贝饿了,508008,356462,2290,3481,29414,0,795,1447
31,这么生猛的海鲜，不能只有我一个人吃,https://www.bilibili.com/video/BV11f4y1u7cU,玲子reiko-,504579,378790,202,411,31967,0,200,793
32,是时候给北京自助餐上一课了！,https://www.bilibili.com/video/BV1ur4y1y7t5,吃货请闭眼,492938,322560,1981,7800,24914,0,677,1828
33,庆祝EDG夺冠干一杯芦荟汁！干净又卫生兄弟们！,https://www.bilibili.com/video/BV1dq4y1r7o2,大祥哥来了,489807,1285305,10287,17917,94426,0,3659,3785
34,德国家人吃丰盛中式早餐！甜、咸豆腐脑儿哪个更受欢迎？,https://www.bilibili.com/video/BV1Ph411b7FN,德国陶渊明,484632,286180,5724,8537,26705,0,204,1143
35,12vs278！价格相差20倍的汉堡 看到账单我傻了！,https://www.bilibili.com/video/BV1Kq4y1k7wJ,夏波波Brian,480568,180668,2437,19632,26805,0,249,2880
