,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
47,【Ada】甜心辣妹Somi回归新曲《XOXO》5套换装全曲实力翻跳,https://www.bilibili.com/video/BV1vL411u7aR,adadance,105586,94120,180,1406,5356,0,90,1780
48,降温了，需要小女友温暖一下你吗？GEE❤少女时代,https://www.bilibili.com/video/BV13S4y1d7hi,咝小喵MAO,104964,127816,59,1211,8533,0,249,10749
49,盯！爱妃在后花园起舞～曼妙美腿 何时赴会？落花情-七朵组合,https://www.bilibili.com/video/BV1qL4y1q7Le,梦可御,104221,33423,123,374,2682,0,27,2741
50,在这个神秘的夜晚，有一个帅气的女人邀请我跳了一个舞【粥芙】,https://www.bilibili.com/video/BV15S4y1d7Ek,小米粥好好喝呀qwq,100756,35382,27,306,3223,0,31,2361
51,黑帮摇真人还原,https://www.bilibili.com/video/BV1Yr4y1C7K2,祸星DisasterStar,99990,142841,64,1196,12966,0,294,1023
52,全网最迟魅魔来袭❤ sweet devil【清晨】,https://www.bilibili.com/video/BV1BT4y197Kh,小清晨儿_,99818,26719,237,284,2379,0,37,2935
53,☆wiggle wiggle★这次的任务目标是你吗？短发飒飒未来女战士【Gikiki】,https://www.bilibili.com/video/BV1KQ4y1D7gn,蚜蟲軍團Giki,97249,97557,44,1560,5506,0,191,9534
54,嗷呜~一口蛋糕一口布丁！♥只是长胖一点啦,https://www.bilibili.com/video/BV1mR4y1E754,Yaaw木木,95759,33390,206,307,1752,0,45,2570
55,【猛男版】新 宝 岛,https://www.bilibili.com/video/BV1j4411W7F7,果厨果厨果,94324,121143410,772020,1827156,4294395,0,1859571,2709609
56,【senko】妈见打！B站最有颜色的大摆锤Phut Hon,https://www.bilibili.com/video/BV1Tg411K78b,senko老司机,91290,264817,187,735,9591,0,212,5795
57,【IXFORM】好齐！小分队舞蹈cover神话《Perfect Man》  孙亦航/连淮伟/刘冠佑/刘隽,https://www.bilibili.com/video/BV1kg411K7jt,青闯小站,89281,75197,3201,355,2636,0,645,1289
58,夕阳下跳舞也太好看了！要不要带小妹妹回家呀～❤️忧郁的心情,https://www.bilibili.com/video/BV1FQ4y1B7nb,给你一杯浅柠w,88960,546344,299,2886,18905,0,1114,16789
59,[威神V/WayV] TEN《New Heroes + Paint Me Naked》舞台,https://www.bilibili.com/video/BV1Y44y1e7eY,WayV_official,88211,115338,2593,20899,21115,0,2261,8286
60,皇上看了都脸红~~~娇羞少女的柔情【逍遥】,https://www.bilibili.com/video/BV1bS4y1d7Ub,跑跑小天线,86944,43181,55,412,2712,0,50,2105
61,【ITZY】彩领翻跳TWICE-The feels,https://www.bilibili.com/video/BV1Df4y1u7Wx,爬梯中的椰味咚粒,83304,67934,31,94,3593,0,184,1218
62,C I C F 上跳宅舞 恋爱循环 【哀子】,https://www.bilibili.com/video/BV1ib4y187eD,一只大王哀,82878,25374,161,403,3110,0,22,1921
63,“想欣赏妾身的舞姿吗？”,https://www.bilibili.com/video/BV1Vr4y117kD,重装小源19c,82156,706609,1279,7696,40941,0,4775,2416
64,少女的妩媚与娇羞~【逍遥】小D版翻跳,https://www.bilibili.com/video/BV1kU4y1u7LA,十元酱少女,80511,291468,303,6885,17607,0,482,10613
65,【泡面】霜降 进来看猫猫！有一点甜~（大概）,https://www.bilibili.com/video/BV1GF411Y7z9,泡面面面面O皿O,78768,17769,118,243,1981,0,20,2404
