,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
51,双十一最推荐购买的相机-值得收藏,https://www.bilibili.com/video/BV1FP4y1575P,陈忠祥,150747,72704,742,3565,5953,0,705,1220
52,发哥的天玑有点香？vivo X70体验分享！,https://www.bilibili.com/video/BV1EQ4y1S7K1,差评TV,148140,266304,93,79,13191,0,45,738
53,离谱！用K80魔改TITANZ双芯核弹卡仅需1200¥,https://www.bilibili.com/video/BV12R4y1E7pT,食杂下输了,147397,80912,117,3259,5832,0,226,1001
54,一个失败的光立方,https://www.bilibili.com/video/BV1Rr4y1C7vK,帅帅兔子618,146872,143948,42,109,7496,0,33,235
55,国产手机在印度卖疯了！靠什么？,https://www.bilibili.com/video/BV12q4y1r7ZR,有轶见的Kris,143922,74487,1086,858,9340,0,67,965
56,【大米】我劝你先别买：AirPods3 对比 Airpods Pro,https://www.bilibili.com/video/BV1fQ4y1S7kb,大米评测,142545,100654,681,904,5223,0,258,454
57,【开箱】硬核！戴在手腕上的中国北斗！,https://www.bilibili.com/video/BV1sh411t7Hb,一袋儿盐,138705,95877,449,415,3590,0,780,1070
58,祝君中奖,https://www.bilibili.com/video/BV16T4y197xp,远古时代装机猿,136000,213841,7933,8765,18406,0,1970,2447
59,【桌面分享】大学生普通的电脑床上桌,https://www.bilibili.com/video/BV1P3411y7Vc,标标の标言标语,130536,1334323,1498,6287,79617,0,16401,18578
60,我把租婚纱的12880块买了一个CTA-Java架构师课程，现在女朋友要跟我分手，B友们帮我看看值得吗？,https://www.bilibili.com/video/BV1fS4y1R7R8,诸葛挨踢,130248,15751,0,704,1690,0,1503,5025
61,win10一键替换原神开机图标logo，打造你的二次元个性化操作系统,https://www.bilibili.com/video/BV1Ng411K7fE,一只大橘喵噢,128288,549652,468,10391,22836,0,1473,34584
62,摔得稀巴烂的苹果手机，还能抢救回来吗？,https://www.bilibili.com/video/BV19S4y1R7M5,世纪威锋波哥,125812,326707,590,975,13009,0,194,1018
63,【字幕】老外测评：中国北方工业M14步枪是垃圾吗？,https://www.bilibili.com/video/BV19L4y1q7nd,Boom4018,125598,108561,188,26,2199,0,63,503
64,【实战项目】清华大佬手把手沉浸式教学，带你从0开始搭建仿京东商城项目，附项目白皮书,https://www.bilibili.com/video/BV1wv411M78T,马士兵-马小曼,124595,18158,2,304,906,0,4,5017
