,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
62,当你和对象一起打球时,https://www.bilibili.com/video/BV1kq4y1r7MM,快乐源泉bot,125729,177230,126,70,8661,0,1559,1541
63,参观切尔西主场：我被维桑附体狂射不进快乐足球,https://www.bilibili.com/video/BV1cv411M7ze,汉青书半霍去病,125638,56696,1889,2822,5662,0,503,796
64,球辅导,https://www.bilibili.com/video/BV1pF411Y7HY,何胜0423,120326,55240,150,1708,10006,0,334,523
65,惊呆了！真实记录连续70天不休息，臀围暴增5厘米，身体变化超出你想象！运动没动力的进来打鸡血！,https://www.bilibili.com/video/BV1Tv411M7yN,爰大大,120101,70876,217,641,2381,0,243,1698
66,攻破老东家球门后“磕头认罪”，这场米兰德比要素真的拉满了！,https://www.bilibili.com/video/BV1v34y1Z7GV,司马尘,118525,80296,607,863,4828,0,180,353
67,给父母买双鞋吧感受下当下的国产力量,https://www.bilibili.com/video/BV1tL411u7uz,高祖讲货,116668,46963,867,3312,5076,0,185,1098
68,感受一下莫斯科中央陆军少年梯队的射门水平,https://www.bilibili.com/video/BV1T3411C7zn,念着小懒虫的懒虫,115716,96449,355,96,1705,0,1090,608
69,暴打拳击机！英国街头壮汉们重拳出击，最后一名力量值笑趴众人,https://www.bilibili.com/video/BV1j44y1474y,梦与体育精选,114755,1701390,9,131,1745,0,0,713
70,UFC268场女子蝇量级高校分赛场雪场冠军战,https://www.bilibili.com/video/BV1M341187m7,六氯环己烷都有人抢,114274,101263,221,162,2637,0,507,492
71,来自大将军阿里纳斯的美式单挑技能包,https://www.bilibili.com/video/BV1g341187KW,美式篮球,111592,74724,11,96,2058,0,60,1382
72,他   真   的   在   飞！！！,https://www.bilibili.com/video/BV1Pr4y1y759,篮球混剪Max君,110699,68861,28,194,5031,0,353,1070
73,最详细俯卧撑解锁教程，5个步骤，提高俯卧撑数量和动作质量,https://www.bilibili.com/video/BV17T4y1o7mj,Erik埃里克,110331,1125230,508,29604,41577,0,2447,91217
74,“这  招  我  会”,https://www.bilibili.com/video/BV1b3411k7io,随便乱剪的迷羽君,109611,164292,64,217,3037,0,624,537
75,山东省实验秋运会随手拍,https://www.bilibili.com/video/BV1Kh411n7dt,Aech艾奇,108715,1350723,897,19472,101037,0,7001,22602
76,重复每天练习这个动作，暴涨控球能力和脚步技术！,https://www.bilibili.com/video/BV1wL41137md,5毛变向,107723,209794,333,8678,13212,0,841,18626
77,这算晃倒吗？！,https://www.bilibili.com/video/BV1Hq4y1k7Qr,向紫龙,105092,133103,26,143,4885,0,79,537
78,在俄罗斯，女孩子可不是想瘦就能瘦的,https://www.bilibili.com/video/BV1dg411K7A6,爱笑的玛丽亚,102059,66117,39,146,2171,0,110,1292
79,格里芬逆天扣篮惊呆众位高中生（现NBA球员），现场你都认识几个？,https://www.bilibili.com/video/BV1kT4y1d7ug,篮球旋律top,101183,79767,64,19,2922,0,115,346
80,周琦报道凤凰队，感受下新队友完爆cba的实力,https://www.bilibili.com/video/BV1mq4y1r7iW,圣天少年,100760,157571,268,18,1916,0,70,120
81,原来这个世界上真的有仙女存在,https://www.bilibili.com/video/BV1d3411C72H,PP体育官方,99539,1187768,407,3154,94905,0,2330,23439
82,《助人为乐》,https://www.bilibili.com/video/BV1Qr4y1C72R,张照洋,99244,84531,30,21,6239,0,11,125
83,三分钟带你看看足球场上的优等生和坏小孩们,https://www.bilibili.com/video/BV1SF411a7LK,0子路0,98409,1063637,226,217,82941,0,216,5079
84,棕色脂肪和冬季减脂,https://www.bilibili.com/video/BV1hq4y137py,戴马力Marley,98099,62919,120,416,4626,0,78,349
85,【KBT干货】艾弗森只会大变向？今天KBT来告诉你ai的强大！,https://www.bilibili.com/video/BV1aL4y1v7j9,KBT篮球训练营,96757,58788,72,259,3107,0,64,1041
86,听说能做这个动作说明身体还18岁！武当弟子：那单脚是多少岁？,https://www.bilibili.com/video/BV1Pv411M79H,武当袁师懋,95182,85718,16,19,2910,0,60,259
87,今天给大家伙骑个自行车,https://www.bilibili.com/video/BV1rb4y187ra,damon12121,94830,100222,43,7,4622,0,15,155
88,澳洲联赛NBL开赛在即，周琦人气超高！今年不仅天才中锋云集，还有前五星高中生？谁将够资格冲击NBA?,https://www.bilibili.com/video/BV1b44y1e7dn,油管小王子Terry,93490,74014,112,76,3293,0,28,93
89,我不是yyds，我只是一个好好生活的人,https://www.bilibili.com/video/BV1yR4y1E71i,奥运冠军吕小军,93058,40632,108,864,7818,0,52,166
90,少点花里胡哨，多点基本功,https://www.bilibili.com/video/BV18F411a7of,不会打球的小胖,91346,1981054,1404,3317,133061,0,8360,44949
91,来野球帝这么久了！终于跟老郭单挑了！,https://www.bilibili.com/video/BV1Zh411t7fG,Duck不是很能飞,91040,343837,296,201,23404,0,67,756
92,罚球线攻击方法之一，先纠正球的位置，位置就是基本功，随后再发五个攻击方法,https://www.bilibili.com/video/BV17f4y1T7KN,郭教练篮球教学,90838,124002,11,118,3987,0,139,933
93,最强杀伤腿法: 垫步侧踹,https://www.bilibili.com/video/BV14f4y1u7ud,功夫百晓生,90615,484069,107,370,7814,0,258,6611
94,雨说威少 V1.0,https://www.bilibili.com/video/BV1Kr4y1y7dn,水果挺甜,89719,95115,126,2058,4698,0,1662,893
95,立刻提升力量的3个秘诀,https://www.bilibili.com/video/BV1vP4y1j7Aa,昊然健身,89554,39599,306,1006,3110,0,84,1184
96,"因为我们淋过雨，所以懂得为别人撑伞。""感动 ""乒乓球",https://www.bilibili.com/video/BV16R4y1778C,体育王者精彩瞬间,88709,2677167,365,1698,293960,0,664,20493
97,杭州ballin机构美式篮球特训教练sam,https://www.bilibili.com/video/BV15U4y1g7bZ,华西岳-西岳,86161,553588,363,1156,27298,0,1619,10970
98,好多人让我发比赛视频，终于找到了……,https://www.bilibili.com/video/BV1yL411g7Ez,荧光棒er,85780,2150171,4262,9788,137116,0,5259,20633
