,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
66,都在韩剧初雪变装！怎么，是我国古装剧的雪下的不够大吗？,https://www.bilibili.com/video/BV1hQ4y1m7mm,清风-安然,245758,149800,308,700,10233,0,92,2239
67,"神奇变金池""谁的都想拥有！纳尼亚传奇！”",https://www.bilibili.com/video/BV1ig411K74C,苗岭黔城,241326,242896,4,14,7805,0,6,381
68,这 届 日 剧 杀 疯 了,https://www.bilibili.com/video/BV1HL411u7Zw,画鸡祝枝山,237365,141841,289,701,12021,0,643,4802
69,拿命拼的人，不会永远是人生的配角！,https://www.bilibili.com/video/BV1Lu411o7Mk,了尘下凡,235864,2257934,254,3159,307085,0,594,30032
70,一辈子演配角又怎样？一样被写入北影教科书！真演技炸裂！,https://www.bilibili.com/video/BV1Jq4y137wT,柠檬好吃么,234870,180544,336,269,8894,0,61,867
71,卧槽!!我馋了!这俩竟然合作过!先婚后爱就是最牛的!!!都给我进来磕!,https://www.bilibili.com/video/BV11L4y1q7sn,如游在野,234807,187588,325,301,4648,0,134,1624
72,【1900】做精讲是为打开宝藏大门——新时代读书人之路,https://www.bilibili.com/video/BV1K3411C7gj,1900影剧室,233424,111013,1140,3812,12968,0,157,1613
73,看完你就明白女人们的情谊有多容易建立了,https://www.bilibili.com/video/BV1mq4y1g78U,南哥影视,233078,236316,33,35,38023,0,98,2020
74,【盘点】哈利波特10大首尾呼应的细节，前后跨度离谱！,https://www.bilibili.com/video/BV1bf4y1T76F,莫扎金,232044,94261,811,4842,12007,0,335,2385
75,“初雪了，这个冬天和你一起看鬼怪的人还在吗”,https://www.bilibili.com/video/BV1GU4y1M7Zx,北汐念宸,230799,186817,362,4099,16057,0,3000,7130
76,军人为保护战友，失去了双眼和双臂，回家后母亲崩溃了《一家人》,https://www.bilibili.com/video/BV1Cq4y1g7xE,贰哥电影,229313,1285953,243,1418,46464,0,49,5504
