,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
63,电棍:白银马♿,https://www.bilibili.com/video/BV1Gq4y1k7gZ,HomasWSC,67101,40593,192,687,1853,0,746,644
64,【DNA重组】国 际 悍 匪,https://www.bilibili.com/video/BV1ZL411g7GG,藤原宇之,65560,1242410,1138,12679,41885,0,1116,20837
65,《熊畜没》  “意大利炮”,https://www.bilibili.com/video/BV1Z54y1C7xe,爱猫的颜鸢,65133,16843509,45675,76042,178606,0,25599,107019
66,武 力 教 学,https://www.bilibili.com/video/BV1gT4y1o7SU,AB鲜,65120,2360338,1688,9785,93720,0,5091,27352
67,【红楼梦】shake it off,https://www.bilibili.com/video/BV1Bb4y187BB,氧先森,65051,223998,646,10403,24933,0,1714,6252
68,【华农兄弟】伤心的人别听慢歌,https://www.bilibili.com/video/BV19v411T7gK,夜散青丝,64993,124131,262,5669,10686,0,260,1488
69,【熊畜没】第一集：弱爆了的吴克,https://www.bilibili.com/video/BV1C44y1y7jm,是小敖同学,64230,2854573,1877,5401,36497,0,1295,12645
70,五 影 会 谈,https://www.bilibili.com/video/BV1cq4y137Vy,妖妖妖妖青,62147,38399,93,316,2592,0,311,489
71,八  仙  过  海,https://www.bilibili.com/video/BV1if4y1c7CR,万灵缝合厂,61737,1833374,2331,17057,185292,0,8875,44691
72,【春晚鬼畜】赵本山：我就是念诗之王！【改革春风吹满地】,https://www.bilibili.com/video/BV1bW411n7fY,UP-Sings,61369,85912204,561329,3408816,3606944,0,1200237,2396638
73,你 是 我 心 内 的 一 熟 瓜🍉,https://www.bilibili.com/video/BV1cR4y1t7Mu,骞尊魔王,61188,25984,157,1040,2454,0,244,741
74,贾斯汀 · 选购,https://www.bilibili.com/video/BV1cq4y1k7gf,泷子丶,61092,74591,80,2289,4930,0,1009,1797
75,【速door与激情】see you again♂,https://www.bilibili.com/video/BV1rh411b7kG,凉拌莲菜,60137,549534,1085,20827,56759,0,5016,24242
76,【越来越离谱系列】《顺手牵羊》,https://www.bilibili.com/video/BV1x3411C7PL,芒果蘸沙拉,58719,3307993,3795,69021,216925,0,15758,76025
77,【嘉然】绿坝然★图图你全家,https://www.bilibili.com/video/BV15q4y137iz,乐青柠FVIO,58108,29992,108,1559,2935,0,554,1630
78,他看起来怎么有点潮,https://www.bilibili.com/video/BV13T4y197y2,一只胖头鱼o,57108,118849,53,484,4638,0,314,431
79,当刘庸遇上道德绑架,https://www.bilibili.com/video/BV1yr4y1y7RJ,白熊ONEヽ,57030,674015,617,3513,42495,0,1816,5940
80,宠 物 小 金 轮,https://www.bilibili.com/video/BV1Z3411r7CR,晏策去月光林地了,56029,355562,464,16573,28703,0,5901,8899
81,lost oneの相比,https://www.bilibili.com/video/BV1pT4y197C8,扶栏kencorn,55023,19994,94,1121,2062,0,393,716
82,课 堂 叫 醒 服 务,https://www.bilibili.com/video/BV16A411K7Cn,自动鬼畜中的WZ,53568,18362551,14986,519411,1110059,0,426208,587576
83,王妃，把三弦拿来,https://www.bilibili.com/video/BV1Sq4y1g7oo,焦大仙啊,52263,115388,161,3071,8238,0,726,1748
84,女 孩 子 为 何 想 干 活,https://www.bilibili.com/video/BV14F411Y7RQ,约谈人参,51225,117740,216,1457,13782,0,462,2944
85,数 不 胜 数,https://www.bilibili.com/video/BV1Gv411g77k,魔骑墨奇,50805,2507565,733,7020,103717,0,10393,28384
86,【特效向】叶 问 是 喰 种⚡,https://www.bilibili.com/video/BV1LP4y1j7h4,Duke肝碎了,50170,51985,431,264,4827,0,145,542
87,⛓️ 哥  谭  都  市  传  说 ⛓️,https://www.bilibili.com/video/BV1uh411t7QS,带带将军,49618,420438,284,823,6932,0,166,3314
88,【EDG夺冠贺曲】新王登基，不破不立！,https://www.bilibili.com/video/BV1ZQ4y1S7e9,AT-15A,49424,30064,42,938,2297,0,70,515
89,【小兔老师】Vtuber一问一答自我介绍,https://www.bilibili.com/video/BV1oP4y1L7Tw,我不是青丝,48933,213211,239,1032,16774,0,285,2130
90,华 强 游 戏,https://www.bilibili.com/video/BV1vq4y197qM,烂梗有点烂,48586,1552515,1138,3040,58941,0,2320,9731
91,直 播 逝 故,https://www.bilibili.com/video/BV1vR4y1E7po,暴躁小猪w,47553,24803,97,178,2014,0,73,583
92,【大司马】轮卷风 - 起飞来的太快就像轮卷风,https://www.bilibili.com/video/BV1pf4y1T7h9,开机写bug,47466,25182,67,778,1915,0,140,388
93,导 师 对 决,https://www.bilibili.com/video/BV1Tq4y1G78r,吟游诗人猩猩哥,46820,834684,345,924,19627,0,748,2320
94,⚡ 爱 情 买 卖 ⚡,https://www.bilibili.com/video/BV1Ku411f7Qf,三顧茅房,46557,1226437,4008,52893,97728,0,12803,33042
95,【特效向】奇异唐僧 妇联篇,https://www.bilibili.com/video/BV1P34y1Z7Jm,非酋小辣椒,46457,183858,204,953,11301,0,728,1433
96,电棍:Destr♿yer,https://www.bilibili.com/video/BV1s44y1e75g,文宇6868,46294,20430,122,608,1709,0,228,454
97,【贾队长 朱时茂】主角与配角（原版无误）,https://www.bilibili.com/video/BV1ur4y1C7oU,李大本事2333,46053,699462,453,21788,36161,0,3509,6944
98,对王之王刘庸——杆菌由胃生！,https://www.bilibili.com/video/BV19P4y1t7Dn,风云熊,45897,761738,1066,7875,50987,0,2815,7445
99,【特效向】僵尸游戏之离离原上谱（下）,https://www.bilibili.com/video/BV1mq4y1g7Tw,中2的星锁,44750,77785,15,78,586,0,82,123
