,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
47,穿搭 之 保暖要紧也不能忘记好看！南北方不同温度都有～,https://www.bilibili.com/video/BV1bL4y1q7yr,草鱼爱吃鱼,157797,89086,176,822,4899,0,397,2010
48,【酒栗】妈见打！双11爆买70个快递 把家堆成仓库是什么体验,https://www.bilibili.com/video/BV1jU4y1M76N,小酒栗Joly,149385,62749,27243,2957,6963,0,67,1146
49,末班车来了！凑单人必备！平价超好货！冷门大挖宝！,https://www.bilibili.com/video/BV1zg411K7hx,是书瑶呀,148706,72173,571,1266,7943,0,122,1488
50,双十一后不知道买啥？年度评论区装备大起底,https://www.bilibili.com/video/BV11U4y1g7LU,盖隐技术GainTachnic,146181,62654,272,1374,3512,0,448,2796
51,【南北】三个不失误的跳起来拍照动作！！,https://www.bilibili.com/video/BV1y34y1o7o6,南北芝麻糊,143156,548091,26,860,50628,0,578,21173
52,或许这就是迪士林在逃公主吧。,https://www.bilibili.com/video/BV1t44y1e7nc,阿螺不怕,143153,90916,168,106,7374,0,100,684
53,双十一好物推荐！情侣两人一起做巧克力和小饼干体验！,https://www.bilibili.com/video/BV1oP4y1V7QS,是王小白呀,142239,90595,884,644,7112,0,92,522
54,12支低饱和灰粉色口红合集💄原相机无美颜滤镜,https://www.bilibili.com/video/BV1nT4y197VX,双下巴富婆,139352,41917,24,183,3569,0,134,3908
55,原来这才是皮筋的正确打开方式 我悟了,https://www.bilibili.com/video/BV1sL411u7zq,大毛贩卖机,138859,55955,47,199,4260,0,188,2982
56,九厘米长的指甲化妆是什么体验？,https://www.bilibili.com/video/BV1VS4y1d7js,Evillilico_,133440,117454,253,82,5683,0,231,563
57,出出舒适圈，一块亮色跳出的4个秋冬穿搭,https://www.bilibili.com/video/BV1y3411b76F,AndreaAndJayden,130892,49595,903,2247,7242,0,330,1330
58,11月10日晚上7点TB直播清单来了！全年最低！10w红包！【露露黄了】,https://www.bilibili.com/video/BV1kg411K7ey,露露黄了,129029,68844,3419,1650,5209,0,1455,651
59,我们当年怎么会这么穿？？太土啦！,https://www.bilibili.com/video/BV1rv411T7Ts,拿拿nah,128820,315962,3413,3984,33272,0,444,1964
60,当我的发型越看越像迪士尼反派....,https://www.bilibili.com/video/BV1Pq4y137TP,辣辣pony,128395,63459,996,1974,8661,0,96,432
61,谁说没镜片的就不是眼镜？！| 给你们康康我收藏的“疑似”眼镜s,https://www.bilibili.com/video/BV1pq4y137xQ,法兰西那点事儿,127362,104210,140,41,8852,0,166,1770
62,❗男生勿进❗内衣该换啦！放飞自我！舒服到飞起！,https://www.bilibili.com/video/BV18L41147bv,一只钟知了,123274,2215607,5561,4318,56614,0,7229,42041
63,「改造男友」听说男生秋冬这样穿会更受欢迎哦~,https://www.bilibili.com/video/BV1Ar4y1y7Mk,颠点儿_,120845,85341,180,407,1905,0,194,1197
64,【今天穿什么】｜第44期｜162cm/45kg｜穿搭日记｜穿搭分享,https://www.bilibili.com/video/BV1sq4y137ei,notes4yisha,120699,155120,131,770,4244,0,557,3231
65,【168 51kg】OOTD一周学院风穿搭 | 秋冬也要做甜酷女孩🍭,https://www.bilibili.com/video/BV14P4y1j74k,李亦白Cloris,119766,50496,70,505,4228,0,1055,4079
66,21款平价油皮粉底液分享！热门底妆云集，学生党必看！,https://www.bilibili.com/video/BV1Yf4y1T7C7,勇仔leo,118444,63299,68,502,4062,0,117,3106
67,【羽绒服合集】听说你那里很冷了｜11件羽绒服的温暖搭配｜一衣多穿｜冬季保命保暖穿搭,https://www.bilibili.com/video/BV1sF411Y7Hq,六月小miumiu,118112,60019,170,1116,3584,0,209,1540
68,退货吧｜玉泽积雪草冻干修护面膜｜双十一为了降价更换膜布纸｜面膜变厚变粗糙,https://www.bilibili.com/video/BV1yh411t7GV,关关小肥,117545,102774,276,215,2303,0,438,146
69,中国人不骗中国人！美丽过冬？从南到北的辣妹Look at me  我的双十一购物指南,https://www.bilibili.com/video/BV1Tr4y1y7hq,林森小朋友,116729,161033,644,1747,11735,0,315,2512
70,【漱口水】口臭不散？龋齿蛀牙？如何日常改善的方法，来喽！,https://www.bilibili.com/video/BV1Vu411o7gS,无名测评,114520,950819,125,1776,14573,0,529,12159
71,我的脸都do过哪里❓坦白分享变美历程,https://www.bilibili.com/video/BV19F411a7Je,老车同学,110435,143148,297,582,5220,0,553,1713
72,因为素颜被骂 崩溃的一天,https://www.bilibili.com/video/BV1eg411K7oG,coo1B酷的一逼,109532,38414,667,934,4018,0,303,2104
73,帮女巫整容,https://www.bilibili.com/video/BV1AQ4y1D7U7,叶庆炫,107622,95616,765,28,2818,0,392,433
74,12套卫衣穿搭！居家/通勤/炸街/蹦迪的！厚的薄的！都！有！,https://www.bilibili.com/video/BV1gF411Y7VA,一条辣cc,107116,61435,129,313,5480,0,120,785
