,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
70,私生黑粉每天晚上找上家门，这是我们的最后警告。。。,https://www.bilibili.com/video/BV1JS4y1d7P2,肌肉山山,614744,531634,888,3374,29258,0,278,1625
71,劝大家以后剪头找熟练的,https://www.bilibili.com/video/BV1GF411Y7VC,甜蜜老张,607194,550940,357,396,31707,0,606,1007
72,差距怎么就这么大呢,https://www.bilibili.com/video/BV1C3411b7RV,疯狂小杨哥,607098,3181245,3452,13566,272596,0,4230,15359
73,家 庭 弟 位 复 仇 战 ！！,https://www.bilibili.com/video/BV1yR4y1E7Xv,泛式,603696,321112,2067,5779,39768,0,478,3571
74,温柔的小学老师,https://www.bilibili.com/video/BV1Db4y187Mq,乡村教师日记,598586,407118,3562,8996,34433,0,1362,1323
75,人类观察日志】067 沙雕生活小技巧,https://www.bilibili.com/video/BV15r4y1C71b,泥美的探索,597607,1026964,165,240,88072,0,368,7064
76,哪有什么一见钟情，都是蓄谋已久...【感动全网的结婚誓言！】,https://www.bilibili.com/video/BV1CR4y1E7yo,Rika_花花,596151,353601,300,4456,29994,0,3713,6751
77,校园卡？校园卡！,https://www.bilibili.com/video/BV14L4y1q7PL,段炼丶Exercise,589371,448273,78,117,61991,0,399,2339
78,直 播 间 仙 人 跳,https://www.bilibili.com/video/BV1AL411u794,胖家军-陈胖胖,586886,601350,3646,2074,42063,0,592,1508
79,EDG赢了！B站为8500万人推出了一项新计划,https://www.bilibili.com/video/BV1J34y1Z7HD,哔哩哔哩弹幕网,584151,2172492,2204,102406,221853,0,6500,26616
80,默契挑战，请问我可以信任你们吗？？？,https://www.bilibili.com/video/BV1jf4y1T71s,-欣小萌-,581739,349377,5654,6459,38180,0,219,1917
81,雪后人均艺术家哈哈哈,https://www.bilibili.com/video/BV1hP4y1j79H,v火星撞地球v,578864,548820,404,1023,25946,0,587,2648
82,哈哈哈哈！对不起了！女士！,https://www.bilibili.com/video/BV1fR4y147qv,马特罗托夫斯基,576153,493518,167,503,28991,0,628,1619
83,非洲游戏厅4块一个小时你觉得贵吗，看看非洲人都玩什么游戏？,https://www.bilibili.com/video/BV14v411M7Do,小钟Johnny,573654,513771,1349,2405,25840,0,473,1092
84,【龚俊×梦幻西游】粉丝自制立体书：归来少年，独倚长剑，云游梦幻三界,https://www.bilibili.com/video/BV15U4y1M7KQ,梦幻西游电脑版,571202,362867,1283,7670,27249,0,1148,4189
85,跟对象吵架怎么认怂,https://www.bilibili.com/video/BV1w3411875w,林壮士啊,570244,414283,208,1504,20691,0,2943,5749
86,穿汉服去英国漫展！见到了抖森，拿了签名送粉丝,https://www.bilibili.com/video/BV1HL4y1v7GX,老少女阿珂,569858,235410,4098,9824,30845,0,355,2594
87,【手残联萌】7周年特别节目,https://www.bilibili.com/video/BV1N44y1e71K,裂独舞,569752,176215,5405,16375,32723,0,914,6418
88,震惊南方人一辈子！我以为打雪仗就是雪球扔来扔去的…,https://www.bilibili.com/video/BV1eS4y1d79q,大蒜好好吃,564864,433187,757,270,27575,0,2088,2940
89,小伙工作两月变成“负翁”欠下银行999个亿，小伙：我快赶上马云了,https://www.bilibili.com/video/BV1Jg411K7TV,小南纪实,557513,547085,235,66,28607,0,398,1030
90,某高校国旗护卫队利用课余时间训练，一名女队员正步拔剑英姿飒爽。,https://www.bilibili.com/video/BV1v3411k7nD,青春聊城,554481,2062199,527,1638,157518,0,3867,23518
91,原来真的有人，从一开始就把对方计划在自己的未来里了,https://www.bilibili.com/video/BV18q4y1r72E,悠爸长不胖,554035,1389564,3871,91676,115542,0,22012,29661
92,你玩LOL吗就说EDG牛,https://www.bilibili.com/video/BV1Nq4y137T2,零志零,553269,421845,303,627,29269,0,4778,2016
93,人类社死行为图鉴,https://www.bilibili.com/video/BV1Ur4y1C72g,人类行为图鉴V,550297,1279748,850,3092,59782,0,9005,10751
94,植物椿喊您起床接电话,https://www.bilibili.com/video/BV1aP4y1j7HE,植物椿,547308,271868,645,5786,26686,0,3196,6312
95,再好的护肤品 都有一个底线 就是不能长得像牙膏,https://www.bilibili.com/video/BV1ZR4y147pe,张金条,546981,386842,237,3085,32182,0,4730,2116
96,我买了一堆号称能开出电子器材的幸运盒子...,https://www.bilibili.com/video/BV17g411K7tb,摸鱼事务所,534551,901790,8932,63068,91464,0,5743,10165
97,密室逃脱太费NPC了：又是被玩家支配的一天,https://www.bilibili.com/video/BV17F411Y7JR,大雄出品,534402,526198,145,211,39841,0,1040,2392
98,重大好消息啊朋友们,https://www.bilibili.com/video/BV1vq4y137iY,柯南KenanHeppe,531537,261767,1351,8356,38213,0,88,2493
99,只要我速度够快。电就追不上我。,https://www.bilibili.com/video/BV1CS4y1d74H,搬运工杨富贵,527295,468206,20,215,18823,0,2919,4510
